time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2019-01-11 00:00:00,1.27499,1.27589,1.27375,1.27554,10111,3,0,2019-01-11 00:00:00,2019-01-11 03:30:00
2019-01-11 04:00:00,1.27553,1.27681,1.27514,1.27608,10255,3,0,2019-01-11 04:00:00,2019-01-11 07:00:00
2019-01-11 08:00:00,1.27608,1.27637,1.27089,1.27516,16773,5,0,2019-01-11 11:00:00,2019-01-11 10:00:00
2019-01-11 12:00:00,1.27516,1.28511,1.27472,1.28229,30197,12,0,2019-01-11 12:00:00,2019-01-11 12:30:00
2019-01-11 16:00:00,1.28231,1.28654,1.2775,1.28585,30486,12,0,2019-01-11 16:30:00,2019-01-11 19:30:00
2019-01-11 20:00:00,1.28585,1.2862,1.28313,1.28335,9897,8,0,2019-01-11 22:30:00,2019-01-11 20:00:00
2019-01-14 00:00:00,1.28502,1.28637,1.2845,1.28563,6778,10,0,2019-01-14 03:00:00,2019-01-14 01:00:00
2019-01-14 04:00:00,1.28564,1.28587,1.28401,1.28497,7051,12,0,2019-01-14 06:30:00,2019-01-14 04:00:00
2019-01-14 08:00:00,1.28499,1.28583,1.28174,1.28338,18546,12,0,2019-01-14 10:00:00,2019-01-14 09:00:00
2019-01-14 12:00:00,1.28339,1.28788,1.28265,1.28445,27298,12,0,2019-01-14 12:00:00,2019-01-14 13:30:00
2019-01-14 16:00:00,1.28445,1.29301,1.28382,1.28887,26030,12,0,2019-01-14 16:00:00,2019-01-14 17:30:00
2019-01-14 20:00:00,1.28887,1.2892,1.28517,1.28595,8972,6,0,2019-01-14 22:00:00,2019-01-14 20:30:00
2019-01-15 00:00:00,1.28658,1.29143,1.28524,1.28975,6134,9,0,2019-01-15 00:00:00,2019-01-15 03:30:00
2019-01-15 04:00:00,1.28975,1.29148,1.28911,1.29146,5202,6,0,2019-01-15 04:30:00,2019-01-15 07:30:00
2019-01-15 08:00:00,1.29146,1.29146,1.28462,1.28663,22425,12,0,2019-01-15 11:30:00,2019-01-15 08:00:00
2019-01-15 12:00:00,1.28663,1.28732,1.28269,1.28511,24688,12,0,2019-01-15 14:30:00,2019-01-15 12:00:00
2019-01-15 16:00:00,1.28513,1.2852,1.27216,1.27299,33682,12,0,2019-01-15 19:30:00,2019-01-15 16:00:00
2019-01-15 20:00:00,1.27299,1.28892,1.26677,1.28587,29574,12,0,2019-01-15 21:30:00,2019-01-15 22:30:00
2019-01-16 00:00:00,1.28578,1.2872,1.28241,1.28354,8661,12,0,2019-01-16 03:30:00,2019-01-16 01:30:00
2019-01-16 04:00:00,1.28355,1.28727,1.28346,1.28667,5577,6,0,2019-01-16 04:30:00,2019-01-16 07:30:00
